time_period
2023-01-02T00:00:00Z,2023-01-15T23:59:59Z
2023-01-16T00:00:00Z,2023-01-29T23:59:59Z
2023-01-30T00:00:00Z,2023-02-11T23:59:59Z
2023-02-12T00:00:00Z,2023-02-25T23:59:59Z
2023-02-26T00:00:00Z,2023-03-11T23:59:59Z
2023-03-12T00:00:00Z,2023-03-25T23:59:59Z
2023-03-26T00:00:00Z,2023-04-08T23:59:59Z
2023-04-09T00:00:00Z,2023-04-22T23:59:59Z
2023-04-23T00:00:00Z,2023-05-06T23:59:59Z
2023-05-07T00:00:00Z,2023-05-20T23:59:59Z
2023-05-21T00:00:00Z,2023-06-03T23:59:59Z
2023-06-04T00:00:00Z,2023-06-17T23:59:59Z
2023-06-18T00:00:00Z,2023-07-01T23:59:59Z
2023-07-01T00:00:00Z,2023-07-15T23:59:59Z
2023-07-17T00:00:00Z,2023-07-29T23:59:59Z
2023-07-30T00:00:00Z,2023-08-12T23:59:59Z
2023-08-13T00:00:00Z,2023-08-06T23:59:59Z
2023-08-23T00:00:00Z,2023-08-26T23:59:59Z
2023-08-27T00:00:00Z,2023-09-02T23:59:59Z
2023-09-03T00:00:00Z,2023-09-16T23:59:59Z
2023-09-17T00:00:00Z,2023-09-30T23:59:59Z
